Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
AGROT,30.4,❌,❌,❌,❌,24.5,❌,❌,—
KZBGY,37.5,❌,❌,❌,❌,24.5,❌,❌,—
TEZOL,37.9,❌,❌,❌,❌,24.6,❌,❌,—
YESIL,35.5,❌,❌,❌,❌,24.7,❌,❌,—
TMSN,35.1,❌,❌,❌,❌,24.9,❌,❌,—
PKENT,32.6,❌,❌,❌,❌,25.1,❌,❌,—
AKYHO,37.0,❌,❌,❌,❌,25.2,❌,❌,—
SKYLP,40.1,❌,❌,❌,✅,25.2,❌,❌,—
NATEN,34.0,❌,❌,❌,❌,25.3,❌,❌,—
QNBTR,43.7,❌,❌,❌,❌,25.5,❌,❌,—
ERBOS,37.7,❌,❌,❌,❌,25.7,❌,❌,—
KAPLM,42.6,❌,❌,❌,❌,25.7,❌,❌,—
VERTU,41.3,❌,❌,❌,❌,25.8,❌,❌,—
SEGYO,40.9,❌,❌,❌,❌,25.9,✅,❌,—
SILVR,37.5,❌,❌,❌,❌,26.0,❌,❌,—
AKGRT,43.5,❌,❌,❌,❌,26.1,✅,❌,—
VKING,37.8,❌,❌,❌,❌,26.1,❌,❌,—
DITAS,38.6,❌,❌,❌,❌,26.1,❌,❌,—
KONKA,36.0,❌,❌,❌,❌,26.2,❌,❌,—
ARZUM,34.4,❌,❌,❌,❌,26.2,❌,❌,—
LUKSK,40.0,❌,❌,❌,✅,26.2,❌,❌,—
ANGEN,33.6,❌,❌,❌,❌,26.3,❌,❌,—
GENTS,41.7,❌,❌,❌,❌,26.4,❌,❌,—
EMKEL,39.8,❌,❌,❌,❌,26.5,❌,❌,—
SOKE,36.8,❌,❌,❌,❌,26.6,❌,❌,—
BYDNR,39.9,❌,❌,❌,❌,26.6,❌,❌,—
ICUGS,41.3,❌,❌,❌,❌,26.7,❌,❌,—
DOFER,38.4,❌,❌,❌,❌,26.7,❌,❌,—
