build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,LINK,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,5.97,6.41,5.54,6.41,Sonraki haftalık kapanış > 6.41,5.54,5.54 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,LXGYO,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,11.04,13.34,10.12,13.34,Sonraki haftalık kapanış > 13.34,10.12,10.12 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MAKIM,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,16.15,17.31,16.0,17.31,Sonraki haftalık kapanış > 17.31,16.0,16.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MARBL,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,12.25,12.93,11.73,12.93,Sonraki haftalık kapanış > 12.93,11.73,11.73 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MARKA,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,84.5,92.5,80.0,92.5,Sonraki haftalık kapanış > 92.50,80.0,80.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MEGAP,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,1.84,1.93,1.76,1.93,Sonraki haftalık kapanış > 1.93,1.76,1.76 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MERKO,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,1.41,1.48,1.36,1.48,Sonraki haftalık kapanış > 1.48,1.36,1.36 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MNDTR,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,5.25,5.45,5.18,5.45,Sonraki haftalık kapanış > 5.45,5.18,5.18 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MTRKS,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,26.8,29.78,25.82,29.78,Sonraki haftalık kapanış > 29.78,25.82,25.82 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,OYYAT,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,34.2,37.6,31.94,37.6,Sonraki haftalık kapanış > 37.60,31.94,31.94 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PATEK,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,19.64,20.76,18.55,20.76,Sonraki haftalık kapanış > 20.76,18.55,18.55 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PRKAB,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,34.0,38.52,32.76,38.52,Sonraki haftalık kapanış > 38.52,32.76,32.76 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PRKAB,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,34.0,35.64,33.28,35.64,Sonraki haftalık kapanış > 35.64,33.28,33.28 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PRZMA,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,64.5,72.05,64.0,72.05,Sonraki haftalık kapanış > 72.05,64.0,64.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PSDTC,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,156.2,184.0,154.4,184.0,Sonraki haftalık kapanış > 184.00,154.4,154.40 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SAHOL,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,88.05,89.8,82.1,89.8,Sonraki haftalık kapanış > 89.80,82.1,82.10 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SAMAT,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,5.33,5.72,5.16,5.72,Sonraki haftalık kapanış > 5.72,5.16,5.16 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SEGYO,HAFTALIK,Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,3.99,4.1,3.76,4.1,Sonraki haftalık kapanış > 4.10,3.76,3.76 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SRVGY,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,2.48,2.66,2.38,2.66,Sonraki haftalık kapanış > 2.66,2.38,2.38 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TLMAN,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,80.55,85.6,77.0,85.6,Sonraki haftalık kapanış > 85.60,77.0,77.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TSKB,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,11.12,11.63,10.77,11.63,Sonraki haftalık kapanış > 11.63,10.77,10.77 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TSKB,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,11.12,11.38,11.02,11.38,Sonraki haftalık kapanış > 11.38,11.02,11.02 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TUKAS,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,2.01,2.13,1.96,2.13,Sonraki haftalık kapanış > 2.13,1.96,1.96 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,UCAYM,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,26.42,28.94,25.22,28.94,Sonraki haftalık kapanış > 28.94,25.22,25.22 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,VAKFA,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,11.23,11.69,10.67,11.69,Sonraki haftalık kapanış > 11.69,10.67,10.67 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,YAYLA,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,21.54,23.22,20.74,23.22,Sonraki haftalık kapanış > 23.22,20.74,20.74 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,YBTAS,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,14.52,15.1,13.4,15.1,Sonraki haftalık kapanış > 15.10,13.4,13.40 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,YBTAS,HAFTALIK,Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,14.52,14.52,13.4,14.52,Sonraki haftalık kapanış > 14.52,13.4,13.40 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,YONGA,HAFTALIK,Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,51.5,52.2,49.02,52.2,Sonraki haftalık kapanış > 52.20,49.02,49.02 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ZEDUR,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,7.91,8.44,7.39,8.44,Sonraki haftalık kapanış > 8.44,7.39,7.39 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CELHA,HAFTALIK,Gravestone Doji,C,AYI,İZLE,2026-08-07,,24.98,27.82,24.32,24.32,Tek başına sinyal değil; izleme,27.82,27.82 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BEGYO,HAFTALIK,Dragonfly Doji,C,BOĞA,İZLE,2026-08-07,,3.49,3.53,3.37,3.53,Tek başına sinyal değil; izleme,3.37,3.37 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CANTE,HAFTALIK,Dragonfly Doji,C,BOĞA,İZLE,2026-08-07,,1.21,1.22,1.18,1.22,Tek başına sinyal değil; izleme,1.18,1.18 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EKSUN,HAFTALIK,Dragonfly Doji,C,BOĞA,İZLE,2026-08-07,,6.23,6.24,5.93,6.24,Tek başına sinyal değil; izleme,5.93,5.93 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KBORU,HAFTALIK,Dragonfly Doji,C,BOĞA,İZLE,2026-08-07,,24.6,25.06,23.52,25.06,Tek başına sinyal değil; izleme,23.52,23.52 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TARKM,HAFTALIK,Dragonfly Doji,C,BOĞA,İZLE,2026-08-07,,461.5,467.0,440.5,467.0,Tek başına sinyal değil; izleme,440.5,440.50 altı formasyonu bozar
